taz,office,retail,hosp
5101,258258.0,124829.0,0.0
5102,54308.0,37649.0,0.0
5103,197227.0,58492.0,0.0
5104,155922.0,32953.0,0.0
5105,118.0,31062.0,0.0
5106,1247.0,8162.0,115.0
5107,55210.0,37836.0,71.0
5108,92734.0,35858.0,831.0
5109,38449.0,57556.0,0.0
5110,86634.0,40678.0,0.0
5111,4506.0,3719.0,86.0
5112,81870.0,74535.0,0.0
5116,238458.0,84555.0,0.0
5117,61660.0,17992.0,14343.0
5113,7400.0,44383.0,0.0
5114,0.0,0.0,0.0
5115,128833.0,26289.0,0.0
5118,349225.0,122847.0,10280.0
5202,18581.0,49980.0,60.0
5203,28202.0,59963.0,10958.0
5204,3870.0,2966.0,0.0
5205,314.0,12366.0,0.0
5206,7006.0,20816.0,0.0
5207,17436.0,56532.0,0.0
5208,0.0,0.0,0.0
5210,1600.0,36.0,0.0
5211,1682.0,914.0,0.0
5301,4394.0,5224.0,0.0
5302,5384.0,5899.0,24113.0
5303,3514.0,25563.0,3829.0
5305,854.0,1750.0,0.0
5701,34677.0,3389.0,0.0
5702,15187.0,2232.0,0.0
5717,28778.0,19074.0,0.0
5304,1456.0,0.0,0.0
5201,2491.0,15479.0,0.0
